lemma,korrektne_lemma
1000ruut,1000ruut
20-se,20-se
500ruut,500ruut
abipolitsenike,abipolitsenike
administratiiv,administratiiv
afla,afla
aflatoksiin,aflatoksiin
agraar,agraar
agro,agro
aianduser,aianduser
aianduseri,aianduseri
akva,akva
algatam,algatam
algatami,algatami
algatamisett,algatamisett
andla,andla
andluskorraldus,andluskorraldus
andmi,andmi
andmima,andmima
andmis,andmis
andmiseja,andmiseja
arboreetumi,arboreetumi
arendam,arendam
arendami,arendami
arenguee,arenguee
arenguees,arenguees
arengustarteegia,arengustarteegia
arestim,arestim
arestimi,arestimi
aretusee,aretusee
aretusees,aretusees
arhiiviee,arhiiviee
arhiiviees,arhiiviees
arvam,arvam
arvami,arvami
arvamis,arvamis
arvutier,arvutier
arvutieri,arvutieri
arvutierima,arvutierima
asfalteerim,asfalteerim
asustam,asustam
asustami,asustami
asutam,asutam
asutami,asutami
auditeerim,auditeerim
auditeerimisee,auditeerimisee
auditeerimisees,auditeerimisees
autentim,autentim
autentimi,autentimi
autoer,autoer
autoeri,autoeri
autoerima,autoerima
benso,benso
between,between
bifenüü,bifenüü
bifenüül,bifenüül
biomolekulaar,biomolekulaar
cum,cum
dekoratiiv,dekoratiiv
depseudonüümimine,depseudonüümimine
des,des
des,des
dikaltsium,dikaltsium
dikaltsiumfosfaat,dikaltsiumfosfaat
dimetüülfumaraat,dimetüülfumaraat
dis,dis
dolo,dolo
dolokivi,dolokivi
droom,droom
droomi,droomi
droomima,droomima
eContent,eContent
eContenti,eContenti
edastam,edastam
edastami,edastami
edendam,edendam
edendami,edendami
edendus,edendus
edendusmeede,edendusmeede
eelarvestreteegia,eelarvestreteegia
eeluurim,eeluurim
eeluurimi,eeluurimi
ehituser,ehituser
ehituseri,ehituseri
eksponeerim,eksponeerim
elam,elam
elami,elami
elamis,elamis
elektriett,elektriett
elektriette,elektriette
elluastumistoetus,elluastumistoetus
emaett,emaett
emaette,emaette
emandusab,emandusab
emandusabi,emandusabi
emandusabiteenus,emandusabiteenus
enampakkum,enampakkum
enampakkumi,enampakkumi
energiaett,energiaett
energiaette,energiaette
entsefalopaatia,entsefalopaatia
entsefalopaatiat,entsefalopaatiat
enzootiline,enzootiline
eralapsehoiuteenus,eralapsehoiuteenus
erastamisett,erastamisett
eraül,eraül
eraüli,eraüli
eriis,eriis
eripüstuvusnõue,eripüstuvusnõue
esitam,esitam
esitami,esitami
eutrofeerumine,eutrofeerumine
fakultatiiv,fakultatiiv
fekaa,fekaa
fekaal,fekaal
for,for
furaan,furaan
furaanide,furaanide
föderaa,föderaa
föderaal,föderaal
ga,ga
garanteerim,garanteerim
garažeerimine,garažeerimine
gdov,gdov
gdovi,gdovi
gdovima,gdovima
genereerim,genereerim
graafiaorganisatsioon,graafiaorganisatsioon
graafiat,graafiat
grillim,grillim
grillimi,grillimi
grillimis,grillimis
güüs,güüs
güüsi,güüsi
güüsima,güüsima
haldusüli,haldusüli
harg,harg
hargtäiend,hargtäiend
heakorrastam,heakorrastam
heakorrastami,heakorrastami
hipo,hipo
hobuslane,hobuslane
hoidm,hoidm
hoidmi,hoidmi
hoidmima,hoidmima
hoidmis,hoidmis
hooldam,hooldam
hooldami,hooldami
hooldamis,hooldamis
hooldjatoetus,hooldjatoetus
hukkam,hukkam
hukkami,hukkami
hukkamis,hukkamis
hulgimüügiett,hulgimüügiett
hulgimüügiette,hulgimüügiette
huvikoolistväli,huvikoolistväli
hävitam,hävitam
hävitami,hävitami
häälinguloa,häälinguloa
häälinguluba,häälinguluba
häälinguorganisatsioon,häälinguorganisatsioon
häälingusaade,häälingusaade
häälinguseadus,häälinguseadus
iduett,iduett
iduette,iduette
immuun,immuun
inert,inert
inertmaterjal,inertmaterjal
inimpär,inimpär
inimpäri,inimpäri
interpretatsioonier,interpretatsioonier
interpretatsioonieri,interpretatsioonieri
interpretatsioonierima,interpretatsioonierima
inuliin,inuliin
inuliinisiirup,inuliinisiirup
ioonne,ioonne
ioonsete,ioonsete
iso,iso
isoglükoos,isoglükoos
jaekaubandusett,jaekaubandusett
jaendamine,jaendamine
jahipidam,jahipidam
jahipidami,jahipidami
jamaksmine,jamaksmine
juhendam,juhendam
juhendami,juhendami
juhtim,juhtim
juhtimi,juhtimi
juhtimis,juhtimis
järta,järta
järtade,järtade
jäätemevaldaja,jäätemevaldaja
jäätme,jäätme
jäätmeks,jäätmeks
jõulu,jõulu
jõuluma,jõuluma
kaadamine,kaadamine
kaadriall,kaadriall
kaalustamine,kaalustamine
kaalustava,kaalustava
kaevami,kaevami
kaevamis,kaevamis
kaitseee,kaitseee
kaitseees,kaitseees
kaitselauste,kaitselauste
kalastuskarrti,kalastuskarrti
kalibreerim,kalibreerim
kanalistasioon,kanalistasioon
kandm,kandm
kandmi,kandmi
kandmima,kandmima
kandmis,kandmis
kasutamisee,kasutamisee
kasutamisees,kasutamisees
kasutatamine,kasutatamine
kasvuett,kasvuett
kasvuette,kasvuette
katarraalne,katarraalne
kattum,kattum
kattumi,kattumi
kattumis,kattumis
kaubanduser,kaubanduser
kaubanduseri,kaubanduseri
kaubatundm,kaubatundm
kaubatundmi,kaubatundmi
kauplem,kauplem
kauplem,kauplem
kauplemi,kauplemi
kauplemi,kauplemi
kauplemis,kauplemis
kauplemis,kauplemis
kaustamine,kaustamine
kehtestatamine,kehtestatamine
keskandme,keskandme
keskkonnaauditeerim,keskkonnaauditeerim
keskkonnajuhtim,keskkonnajuhtim
keskkonnajuhtimi,keskkonnajuhtimi
kestestamine,kestestamine
kinnitam,kinnitam
kinnitami,kinnitami
kirjutam,kirjutam
kirjutami,kirjutami
klassifitseerim,klassifitseerim
kodo,kodo
kohaldam,kohaldam
kohaldami,kohaldami
kolim,kolim
kolimi,kolimi
kolimis,kolimis
kommertsee,kommertsee
kommertsees,kommertsees
komplekteerim,komplekteerim
konfiskeerim,konfiskeerim
konserveerim,konserveerim
koolistväli,koolistväli
koondee,koondee
koondeel,koondeel
koordineerim,koordineerim
koostootm,koostootm
koostootmi,koostootmi
koostootmis,koostootmis
korrastam,korrastam
korrastami,korrastami
korrigeerim,korrigeerim
kriminaalhooldusosakona,kriminaalhooldusosakona
krimineerimine,krimineerimine
kruntim,kruntim
kruntimi,kruntimi
kruntimis,kruntimis
krüpto,krüpto
kudem,kudem
kudemi,kudemi
kudemis,kudemis
kuluee,kuluee
kulueel,kulueel
kutsekõrg,kutsekõrg
kuulm,kuulm
kuulmi,kuulmi
kuulmima,kuulmima
kuulmis,kuulmis
kuuskute,kuuskute
käitam,käitam
käitami,käitami
käitamis,käitamis
käitlemisett,käitlemisett
käitum,käitum
käitumi,käitumi
käitumis,käitumis
kättetoimetam,kättetoimetam
kättetoimetami,kättetoimetami
kääritusjääk,kääritusjääk
kõlastama,kõlastama
kõlastatu,kõlastatu
kõlastatud,kõlastatud
kõlastava,kõlastava
kõlastavad,kõlastavad
kõlastu,kõlastu
kõlastud,kõlastud
kõlastuma,kõlastuma
kõlastusleht,kõlastusleht
kõrvaldam,kõrvaldam
kõrvaldam,kõrvaldam
kõrvaldami,kõrvaldami
kõrvaldami,kõrvaldami
küttim,küttim
küttimi,küttimi
küttimis,küttimis
laadim,laadim
laadimi,laadimi
laadimis,laadimis
ladestam,ladestam
ladestami,ladestami
lahkum,lahkum
lahkumi,lahkumi
lahkumis,lahkumis
lahkumisett,lahkumisett
laotam,laotam
laotami,laotami
laotamis,laotamis
lapsehoi,lapsehoi
lapsehoiteenus,lapsehoiteenus
lapsehoiuteenuserahaline,lapsehoiuteenuserahaline
lasteasutustessevastu,lasteasutustessevastu
lasteasutustessevastud,lasteasutustessevastud
lasteasutustessevastuma,lasteasutustessevastuma
lasteasutustessevastuvõtt,lasteasutustessevastuvõtt
laude,laude
legaa,legaa
legaal,legaal
legaliseerim,legaliseerim
lennujuhtim,lennujuhtim
lennujuhtim,lennujuhtim
lennujuhtimi,lennujuhtimi
lennujuhtimi,lennujuhtimi
liidestam,liidestam
liidestami,liidestami
liiklusee,liiklusee
liiklusees,liiklusees
liikum,liikum
liikumi,liikumi
liikumis,liikumis
liitla,liitla
liitlas,liitlas
liitum,liitum
liitumi,liitumi
liitumis,liitumis
liitumisläb,liitumisläb
liitumisläbi,liitumisläbi
likvideerim,likvideerim
likvideerim,likvideerim
lisaü,lisaü
lisaül,lisaül
loendusee,loendusee
loendusees,loendusees
loomeette,loomeette
lootsier,lootsier
lootsieri,lootsieri
lootsierima,lootsierima
lootsim,lootsim
lootsimi,lootsimi
lootsimis,lootsimis
läbirääkim,läbirääkim
läbirääkimi,läbirääkimi
lähenem,lähenem
lähenemi,lähenemi
lõhkam,lõhkam
lõhkami,lõhkami
lõhkamis,lõhkamis
lõpetamie,lõpetamie
maandam,maandam
maandami,maandami
maandamis,maandamis
majandusläb,majandusläb
majandusläbi,majandusläbi
majandusüli,majandusüli
maksatav,maksatav
matemaatikaüles,matemaatikaüles
matrikuleerimine,matrikuleerimine
meliorand,meliorand
meliorant,meliorant
meresõiduohutusalane,meresõiduohutusalane
meresõiduohutusalas,meresõiduohutusalas
meresõiduohutusalase,meresõiduohutusalase
meresõiduohutusealane,meresõiduohutusealane
meresõiduohutusealas,meresõiduohutusealas
meresõiduohutusealase,meresõiduohutusealase
metsanduser,metsanduser
metsanduseri,metsanduseri
migratsioonijäre,migratsioonijäre
mikropõllumajandusett,mikropõllumajandusett
mitetulunduslik,mitetulunduslik
mittesooduspär,mittesooduspär
mittesooduspäri,mittesooduspäri
mobilisatsiooniüles,mobilisatsiooniüles
moodustam,moodustam
moodustami,moodustami
munitispaa,munitispaa
munitispaalkool,munitispaalkool
munitsipaalelam,munitsipaalelam
munitsipaalelami,munitsipaalelami
muusikakesk,muusikakesk
mäeette,mäeette
määramimne,määramimne
mõõtm,mõõtm
mõõtmi,mõõtmi
mõõtmima,mõõtmima
mõõtmis,mõõtmis
müügiett,müügiett
müügiette,müügiette
naturaa,naturaa
naturaal,naturaal
natureeriv,natureeriv
nestik,nestik
nestiku,nestiku
nimeliseau,nimeliseau
nimeliseauhind,nimeliseauhind
ningkool,ningkool
nng,nng
noteerim,noteerim
nukliid,nukliid
nukliidide,nukliidide
nägem,nägem
nägemi,nägemi
nägemis,nägemis
nõudm,nõudm
nõudmi,nõudmi
nõudmima,nõudmima
nõudmis,nõudmis
oiva,oiva
orto,orto
ortofoto,ortofoto
osutam,osutam
osutami,osutami
osutavatetöötaja,osutavatetöötaja
otsim,otsim
otsimi,otsimi
otsimis,otsimis
pagula,pagula
pagulas,pagulas
paistvu,paistvu
paistvuma,paistvuma
paistvune,paistvune
paistvus,paistvus
paistvusaru,paistvusaru
paistvusaruanne,paistvusaruanne
panu,panu
panud,panud
panuma,panuma
panusõnnik,panusõnnik
parkimisjäre,parkimisjäre
peatumi,peatumi
peatumis,peatumis
pesem,pesem
pesemi,pesemi
pesemis,pesemis
pesupesem,pesupesem
pesupesemi,pesupesemi
piimatootm,piimatootm
piimatootmi,piimatootmi
piller,piller
pluatatsioon,pluatatsioon
pluatatsioonima,pluatatsioonima
pluateerimine,pluateerimine
polio,polio
polüklooritu,polüklooritu
polüklooritud,polüklooritud
pretatsioon,pretatsioon
pretatsioonier,pretatsioonier
pretatsioonieri,pretatsioonieri
pretatsioonierialade,pretatsioonierialade
pretatsioonierima,pretatsioonierima
pretatsioonima,pretatsioonima
privaat,privaat
puidurafineerim,puidurafineerim
pursk,pursk
puurim,puurim
puurimi,puurimi
puurimis,puurimis
päritoluseertif,päritoluseertif
päritoluseertifi,päritoluseertifi
päritoluseertifikaadi,päritoluseertifikaadi
pääsetavusnõue,pääsetavusnõue
päästeall,päästeall
päästeüles,päästeüles
põhiüles,põhiüles
põl,põl
põlima,põlima
põlis,põlis
põllumajandusläb,põllumajandusläb
põllumajandusläbi,põllumajandusläbi
põllumajandusüli,põllumajandusüli
põlvnem,põlvnem
põlvnemi,põlvnemi
põlvnemis,põlvnemis
radiograafiline,radiograafiline
rafineerim,rafineerim
rahvaül,rahvaül
rahvaüli,rahvaüli
rasestum,rasestum
rasestumi,rasestumi
raudteeotseühendus,raudteeotseühendus
reageerim,reageerim
regenereerim,regenereerim
regisr,regisr
regisri,regisri
regisrine,regisrine
regisris,regisris
regisrisne,regisrisne
regisriss,regisriss
regulaar,regulaar
rehabiliteerim,rehabiliteerim
reisiett,reisiett
reisiette,reisiette
rekonstrueerim,rekonstrueerim
relvakandm,relvakandm
relvakandmi,relvakandmi
relvasoetam,relvasoetam
relvasoetami,relvasoetami
remondiees,remondiees
rendiett,rendiett
rendiette,rendiette
reservall,reservall
ressursijuhtim,ressursijuhtim
ressursijuhtimi,ressursijuhtimi
restaureerim,restaureerim
restruktureerim,restruktureerim
riigihaldusüli,riigihaldusüli
riigiraamatupidam,riigiraamatupidam
riigiraamatupidami,riigiraamatupidami
rikastam,rikastam
rikastami,rikastami
rikkum,rikkum
rikkumi,rikkumi
rikkumis,rikkumis
rinnasdia,rinnasdia
rinnasdiameeter,rinnasdiameeter
rinnaspind,rinnaspind
rinnaspindala,rinnaspindala
ro-ro,ro-ro
rob,rob
robi,robi
robima,robima
rääkim,rääkim
rääkimi,rääkimi
rääkimis,rääkimis
rööp,rööp
saastum,saastum
saastumi,saastumi
saastumis,saastumis
sanitaar,sanitaar
satelliitjälgimi,satelliitjälgimi
