,global_id,document_type,document_title,xml_source
0,187514,korraldus," "" Eesti Vabariigi valitsuse ja Türgi Vabariigi valitsuse vahelise kaitsekoostöökokkuleppe "" eelnõu heakskiitmine ja volituste andmine",https://www.riigiteataja.ee/akt/187514.xml
1,188437,korraldus,Nõusoleku andmine riigimaa hoonestusõigusega koormamiseks,https://www.riigiteataja.ee/akt/188437.xml
2,188537,korraldus,Riigivara avaliku enampakkumiseta või eelläbirääkimistega pakkumiseta rendile andmine,https://www.riigiteataja.ee/akt/188537.xml
3,194643,korraldus," "" Euroopa Ühenduse ja Eesti vahelise vastastikuse mõistmise memorandumi Eesti osalemise kohta ühenduse energiakasutuse tõhustamise programmis ( SAVE ) ( 1998 - 2002 ) "" eelnõu heakskiitmine ja volituste andmine",https://www.riigiteataja.ee/akt/194643.xml
4,194647,korraldus," "" Euroopa Ühenduse ja Eesti Vabariigi vahelise vastastikuse mõistmise memorandumi Eesti osalemise kohta ühenduse programmis "" Toll 2002 "" "" eelnõu heakskiitmine ja volituste andmine",https://www.riigiteataja.ee/akt/194647.xml
5,195103,korraldus,Sihtasutuse Viljandi Haigla asutamine,https://www.riigiteataja.ee/akt/195103.xml
6,12846940,korraldus,Autoriõiguse asjatundjate komisjoni moodustamine,https://www.riigiteataja.ee/akt/12846940.xml
7,12846956,korraldus, « Eesti Vabariigi valitsuse ja Läti Vabariigi valitsuse vahelise endise NSV Liidu territooriumil täitunud kindlustusperioodide arvessevõtmise lepingu » eelnõu heakskiitmine ja volituste andmine,https://www.riigiteataja.ee/akt/12846956.xml
8,12846978,korraldus,Asjatundjate komisjoni moodustamine,https://www.riigiteataja.ee/akt/12846978.xml
9,12851190,korraldus," “ Eesti Vabariigi ja Hispaania Kuningriigi haridus- , kultuuri- ja teaduskoostöö kokkuleppe ” eelnõu heakskiitmine ja volituse andmine",https://www.riigiteataja.ee/akt/12851190.xml
10,12851194,korraldus, “ Spordis dopingu kasutamise vastase rahvusvahelise konventsiooni ” heakskiitmine,https://www.riigiteataja.ee/akt/12851194.xml
11,12851340,korraldus,Riigimetsa Majandamise Keskuse nõukogu koosseisu kinnitamine,https://www.riigiteataja.ee/akt/12851340.xml
12,12854261,korraldus,Eesti riikliku arengukava Euroopa Liidu struktuurifondide kasutuselevõtuks – ühtse programmdokumendi 2004 – 2006 meetme 2 . 4 « Turismi arendamine » osa « Keskvalitsuse turismiinvesteeringu projektid » investeeringuteks ettenähtud toetuse kasutamise kava kinnitamine,https://www.riigiteataja.ee/akt/12854261.xml
13,925486,korraldus,Riigi eelarvestrateegia 2005 - 2008 heakskiitmine,https://www.riigiteataja.ee/akt/925486.xml
14,927714,korraldus,Volituste andmine Koidula raudteepiirijaama ning Valga-Petseri ja Tartu-Petseri raudteid ühendava raudteelõigu väljaehitamise ettevalmistamiseks Riigi Kinnisvara Aktsiaseltsi poolt,https://www.riigiteataja.ee/akt/927714.xml
15,927834,korraldus,Vabariigi Valitsuse 2005 . aasta tööplaani kinnitamine,https://www.riigiteataja.ee/akt/927834.xml
16,927844,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/927844.xml
17,833305,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833305.xml
18,833309,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833309.xml
19,833313,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833313.xml
20,833317,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833317.xml
21,833322,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833322.xml
22,833326,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833326.xml
23,833330,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833330.xml
24,833334,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833334.xml
25,833338,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833338.xml
26,833343,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833343.xml
27,833348,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833348.xml
28,833353,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833353.xml
29,833358,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833358.xml
30,833364,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833364.xml
31,833370,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833370.xml
32,833376,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833376.xml
33,833380,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833380.xml
34,833407,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833407.xml
35,833414,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833414.xml
36,833418,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833418.xml
37,833430,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833430.xml
38,833437,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833437.xml
39,833441,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833441.xml
40,833447,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/833447.xml
41,834706,korraldus,Riigi teaduspreemiate komisjoni moodustamine ja selle koosseisu kinnitamine ning Vabariigi Valitsuse 18 . oktoobri 2000 . a korralduse nr 813-k « Riigi teaduspreemiate komisjoni moodustamine » kehtetuks tunnistamine,https://www.riigiteataja.ee/akt/834706.xml
42,834808,korraldus,Sihtasutuse « Et suvi ei läheks luhta » asutamine,https://www.riigiteataja.ee/akt/834808.xml
43,980093,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/980093.xml
44,12787198,korraldus, “ Eesti Vabariigi valitsuse ja Rootsi Kuningriigi valitsuse vahelise mere- ja lennuotsingute ning -pääste koostöökokkuleppe ” eelnõu heakskiitmine ja volituse andmine,https://www.riigiteataja.ee/akt/12787198.xml
45,1027401,korraldus,Riigimetsas riigikaitseliseks väljaõppeks loa andmine,https://www.riigiteataja.ee/akt/1027401.xml
46,1032508,korraldus,Euroopa Liidu majandus- ja sotsiaalkomitee liikmete ja asendusliikmete kandidaatide kinnitamine,https://www.riigiteataja.ee/akt/1032508.xml
47,12805602,korraldus,Korruptsioonivastase asjatundjate komisjoni moodustamine,https://www.riigiteataja.ee/akt/12805602.xml
48,12805606,korraldus,Asjatundjate komisjoni moodustamine,https://www.riigiteataja.ee/akt/12805606.xml
49,12805611,korraldus,Ministeeriumidevahelise komisjoni moodustamine,https://www.riigiteataja.ee/akt/12805611.xml
50,12806362,korraldus,Teabeameti peadirektori ametisse nimetamine,https://www.riigiteataja.ee/akt/12806362.xml
51,12765091,korraldus,Rootsi vähemusrahvuse kultuurinõukogu valimiste peakomitee koosseisu kinnitamine,https://www.riigiteataja.ee/akt/12765091.xml
52,12781026,korraldus,"Eesti Vabariigi valitsuse , Läti Vabariigi valitsuse , Leedu Vabariigi valitsuse ning ÜRO Narkootikumide ja Kuritegevuse Büroo vahelise projektidokumendi “ HIV / AIDSi ennetamine ja hooldus süstivate narkomaanide hulgas ja kinnipidamisasutustes Eestis , Lätis ja Leedus ” eelnõu heakskiitmine ja volituste andmine",https://www.riigiteataja.ee/akt/12781026.xml
53,12782410,korraldus,Asjatundjate komisjoni moodustamine maavanemakandidaatide nõuetele vastavuse hindamiseks,https://www.riigiteataja.ee/akt/12782410.xml
54,12785248,korraldus,Kõrghariduse hindamise nõukogu moodustamine ja selle koosseisu kinnitamine,https://www.riigiteataja.ee/akt/12785248.xml
55,12785395,korraldus,Nõusoleku andmine riigimaa hoonestusõigusega koormamiseks,https://www.riigiteataja.ee/akt/12785395.xml
56,12786262,korraldus,Ministeeriumidevahelise komisjoni moodustamine,https://www.riigiteataja.ee/akt/12786262.xml
57,12733280,korraldus, “ Rühma tasemeväljaõppeks Eestis toodetud arvutipõhise simulaatorsüsteemi SIM-3C-10 Gruusia valitsusele tasuta kasutusse andmise kokkuleppe ” eelnõu heakskiitmine ja volituse andmine,https://www.riigiteataja.ee/akt/12733280.xml
58,1042077,korraldus,Teaduskompetentsi Nõukogu moodustamine ja koosseisu kinnitamine,https://www.riigiteataja.ee/akt/1042077.xml
59,1042081,korraldus,Nõusoleku andmine riigivara hoonestusõigusega koormamiseks,https://www.riigiteataja.ee/akt/1042081.xml
60,1043922,korraldus,Raha eraldamine,https://www.riigiteataja.ee/akt/1043922.xml
