sublemma,lemma,occurence_count,document_count
False,seadus,3005,2989
False,seadu,2989,2989
False,ja,1178,918
True,vaba,616,338
False,vabariik,584,338
False,ratifitseerimine,472,469
True,maksu,374,373
False,Eesti,370,330
False,eesti,363,324
True,riigi,299,293
False,seadustik,274,271
False,konventsioon,243,229
False,valitsus,229,121
False,leping,225,208
False,vaheline,223,209
False,Euroopa,221,174
False,euroopa,221,174
True,kindlustus,217,217
False,ning,166,159
False,riigilõivuseadus,161,161
True,lõivu,161,161
True,rahvus,148,144
True,elektri,143,143
False,protokoll,141,134
False,rahvusvaheline,139,135
False,ühinemine,135,134
False,maksukorraldus,129,129
False,see,114,109
False,tulumaksuseadus,113,113
True,aktsiis,112,112
False,kaitse,109,109
False,tubakas,108,108
False,alkohol,107,107
False,elektriaktsiis,107,107
False,kaits,107,107
False,kütus,107,107
False,tõkestamine,107,103
True,kriminaal,106,106
False,protokolli,104,99
False,aasta,102,85
False,tsiviilkohtumenetlus,99,99
True,turu,99,99
True,välis,93,90
False,vältimine,84,81
False,maks,83,78
False,kriminaalmenetlus,81,81
False,sotsiaalhoolekanne,81,81
True,hoole,81,81
True,kanne,81,81
False,topeltmaksustamine,81,78
True,topelt,81,78
True,ravi,79,79
False,ravikindlustus,78,78
True,mere,76,71
False,sell,75,74
False,hoidumine,75,72
True,koos,75,72
False,korraldamine,73,73
True,karistus,73,73
False,kokkulepe,73,71
False,toetus,72,72
False,sotsiaalmaksuseadus,71,71
False,tööturuteenus,70,70
False,koht,70,66
False,kohta,70,66
True,turg,69,69
False,liit,69,61
False,riiklik,67,66
True,krediidi,66,66
True,piiri,64,63
False,krediidiasutus,63,63
True,väärt,63,63
True,põhi,63,62
False,tervishoiuteenus,61,61
True,hoiu,61,61
True,vee,61,61
True,liiklus,60,60
False,väärtpaberiturg,59,59
True,paberi,59,59
True,keskkonna,58,50
False,karistusseadustik,56,56
True,valve,55,54
True,kuning,54,36
True,relva,53,52
True,eel,52,51
False,kogumispension,51,51
True,kogumis,51,51
True,arve,51,50
False,kuningriik,51,36
False,liiklusseadus,49,49
False,vahe,49,47
False,vahel,49,47
False,muutmine,48,48
False,rakendamine,48,47
False,ravimiseadus,47,47
False,täitemenetlus,47,47
False,äriseadustik,47,47
True,ravimi,47,47
True,täite,47,47
False,kohalik,46,45
False,kohus,45,45
False,kohtu,44,44
False,veeseadus,44,44
True,põllu,44,39
False,käsitlev,43,42
False,omavalitsus,43,42
True,oma,43,42
False,pool,43,30
False,korraldus,42,42
False,piirivalve,42,42
False,politsei,42,42
False,relvaseadus,42,42
False,tema,42,40
False,tulumaks,42,40
True,sõidu,42,35
False,käibemaksuseadus,41,41
False,pensionikindlustus,41,41
False,välismaalane,41,41
True,käibe,41,41
True,maalane,41,41
True,pensioni,41,41
True,väe,41,41
False,tulu,41,40
False,riik,41,39
False,poolt,41,28
False,sõlmi,40,38
False,sõlmitu,40,38
False,sõlmitud,40,38
False,isik,39,39
False,tööleping,39,39
True,pere,39,39
True,vedel,39,39
False,töötuskindlustus,38,38
False,vedelkütus,38,38
True,haldus,38,38
True,töötus,38,38
False,Läti,38,36
False,läti,38,36
True,era,37,37
True,kapitali,37,36
True,investeerimis,37,33
False,kindlustustegevus,36,36
False,vastastikune,36,36
False,kapitalimaks,36,35
False,kaitseväeteenistus,35,35
True,kool,35,35
False,Leedu,35,33
False,leedu,35,33
True,kooli,34,34
True,perekonna,34,34
True,tolli,34,34
True,õhk,34,34
False,juur,33,33
False,juurde,33,33
False,kuuluv,33,33
False,ohutus,33,33
False,riigieelarve,33,33
False,notariaadiseadus,32,32
True,notariaadi,32,32
False,jäätmeseadus,30,30
True,jäätme,30,30
False,liikmesriik,30,29
True,liikmes,30,29
False,avalik,29,29
False,elektrituruseadus,29,29
False,elektrooniline,29,29
False,keskkonnatasu,29,29
False,side,29,29
True,üld,29,29
False,koostöö,29,28
True,elu,29,27
False,heakskiitmine,28,28
False,meresõiduohutus,28,28
False,muudatus,28,28
False,nõukogu,28,28
True,heaks,28,28
True,kiitmine,28,28
False,nr,28,23
False,terrorism,27,27
False,organisatsioon,27,26
False,gümnaasiumiseadus,26,26
False,investeering,26,26
False,perehüvitis,26,26
False,põhikool,26,26
False,soodustamine,26,26
True,gümnaasiumi,26,26
True,seisu,26,26
True,võla,26,26
True,üle,26,26
False,ühine,26,25
True,ühis,26,25
False,võlaõigusseadus,25,25
False,lisaprotokoll,25,24
False,ühendus,25,20
False,erakooliseadus,24,24
False,perekonnaseisutoiming,24,24
False,rahastamine,24,24
False,riigikogu,24,24
False,üldosa,24,24
True,toiming,24,24
True,raamatu,24,23
False,tolliseadus,23,23
True,ehitus,23,23
False,teine,23,21
True,finants,23,21
False,rahapesu,22,22
False,teenistus,22,22
True,laenu,22,22
True,pesu,22,22
True,taime,22,22
True,tubaka,22,22
False,prokuratuuriseadus,21,21
False,tubakaseadus,21,21
True,lennundus,21,21
True,prokuratuuri,21,21
False,põhikiri,21,20
False,laenuleping,20,20
True,õppe,20,12
False,kasutamine,19,19
False,taimekaitseseadus,19,19
False,tööohutus,19,19
False,töötervishoid,19,19
True,ameti,19,19
True,hoid,19,19
True,teo,19,19
False,või,19,16
True,energia,19,16
False,dokument,18,18
False,halduskohtumenetlus,18,18
False,laev,18,18
True,arengu,18,18
True,olu,18,18
True,pankroti,18,18
True,sfääri,18,18
True,turva,18,18
False,Soome,18,17
False,soome,18,17
False,vabakaubandusleping,18,16
False,atmosfääriõhk,17,17
False,investeerimisfond,17,17
False,lennundusseadus,17,17
False,turvaseadus,17,17
False,valimine,17,17
False,vangistusseadus,17,17
False,välisõhk,17,17
False,väärteomenetlus,17,17
True,atmo,17,17
True,looma,17,17
True,piir,17,17
True,raud,17,17
True,väär,17,17
True,ühend,17,17
False,investeerimispank,17,15
True,inim,17,13
False,karistusregister,16,16
False,majandustegevus,16,16
False,pankrotiseadus,16,16
False,õigusabi,16,16
True,hasart,16,16
True,mängu,16,16
True,re,16,16
False,staatus,16,15
True,õhu,16,15
False,arengupank,15,15
False,hädaolukord,15,15
False,kaitseliit,15,15
False,kohtutäitur,15,15
False,kord,15,15
False,maagaasiseadus,15,15
False,rahvas,15,15
False,tööorganisatsioon,15,15
False,võtmine,15,15
True,gaasi,15,15
True,häda,15,15
True,täitur,15,15
False,balti,15,14
False,Rootsi,14,14
False,asjaõigusseadus,14,14
False,finantsinspektsioon,14,14
False,hasartmänguseadus,14,14
False,kinnistusraamatuseadus,14,14
False,lisaeelarve,14,14
False,rootsi,14,14
False,sadamaseadus,14,14
True,asja,14,14
True,asutamis,14,14
True,inspektsioon,14,14
True,kinnistus,14,14
True,sadama,14,14
False,Taani,14,13
False,asutamine,14,13
False,taani,14,13
False,teadus,14,13
True,suur,14,11
False,Laeva,13,13
False,asutus,13,13
False,kaup,13,13
False,lõpetamine,13,13
False,rahvastikuregister,13,13
False,rekonstrueerimis,13,13
False,tunnustamine,13,13
False,tõendav,13,13
False,õigus,13,13
False,ühinenu,13,13
False,ühinenud,13,13
False,üks,13,13
True,konstrueerimis,13,13
True,laeva,13,13
True,mitme,13,13
True,rahvastiku,13,13
True,üli,13,13
False,Poola,13,12
False,piiriülene,13,12
False,poola,13,12
True,ülene,13,12
True,eba,13,11
False,föderatsioon,13,9
True,korteri,13,8
False,alune,12,12
False,alus,12,12
False,e-raha,12,12
False,ehitusseadus,12,12
False,kanalisatsioon,12,12
False,laevaregister,12,12
False,liige,12,12
False,lipuõigus,12,12
False,makseasutus,12,12
False,osalemine,12,12
False,president,12,12
False,raudteeseadus,12,12
False,riigihange,12,12
False,seotu,12,12
False,seotud,12,12
False,sidu,12,12
False,välisriik,12,12
False,ühisveevärk,12,12
True,hange,12,12
True,lipu,12,12
True,lõhke,12,12
True,värk,12,12
False,aine,12,11
True,põhja,12,11
True,seis,12,10
False,vene,12,8
True,britannia,12,6
False,ILO,11,11
False,asutamisleping,11,11
False,ehitusseadustik,11,11
False,halduskoostöö,11,11
False,kalapüügiseadus,11,11
False,lõhkematerjaliseadus,11,11
False,riigipiir,11,11
False,toiduseadus,11,11
False,õiguskantsler,11,11
False,ühendriik,11,11
True,alkoholi,11,11
True,kantsler,11,11
True,kutse,11,11
True,materjali,11,11
True,poliitika,11,11
True,posti,11,11
True,püügi,11,11
True,rahva,11,11
True,saladus,11,11
True,toidu,11,11
False,Norra,11,10
False,Põhja-Atlandi,11,10
False,norra,11,10
False,põhjamaa,11,10
True,kaug,11,10
False,endine,11,9
True,ees,11,9
