subword,occurence_count,document_count
seadus,1348,1348
riigi,956,625
vaba,616,338
maksu,379,378
menetluse,270,267
töö,252,223
sotsiaal,180,180
turu,168,168
kindlustuse,163,163
lõivu,161,161
tulu,158,156
kohtu,157,156
rahvus,146,142
elektri,143,143
kaitse,141,141
korralduse,139,139
teenuste,138,138
lepingu,127,123
vahelise,118,115
tsiviil,117,117
seadustik,113,113
aktsiisi,112,112
kriminaal,106,106
maa,98,82
välis,93,90
asutuste,88,88
kokku,87,83
hoole,81,81
kande,81,81
maksustamise,81,78
topelt,81,78
hoiu,80,80
tervis,80,80
mere,80,71
ravi,79,79
tegevuse,79,79
õigus,79,75
piiri,77,76
koos,75,72
karistus,72,72
leppe,67,65
krediidi,66,66
väärt,63,63
vee,62,62
põhi,62,61
kogu,62,59
keskkonna,61,53
majandus,60,57
paberi,59,59
ohutuse,58,58
liiklus,55,55
teenistuse,55,55
valve,55,54
kuning,54,36
kindlustus,53,53
äri,53,53
relva,53,52
pensionide,52,52
eel,52,51
kogumis,51,51
arve,51,50
väe,50,50
õhu,50,49
ravimi,47,47
täite,47,47
registri,45,45
abi,45,44
riikide,45,44
põllu,44,39
sõidu,44,37
kooli,43,43
maksudega,43,43
oma,43,42
kütuse,42,42
valitsuse,42,41
käibe,41,41
pensioni,41,41
lisa,40,39
maalaste,39,39
pere,39,39
vedel,39,39
haldus,38,38
töötus,38,38
kapitali,38,37
era,37,37
investeerimis,37,33
korra,36,36
perekonna,34,34
tolli,34,34
seisu,34,32
maksuga,34,31
nõu,33,32
notariaadi,32,32
kaubandus,32,30
panga,31,30
jäätme,30,30
laenu,30,30
õiguse,30,30
liikmes,30,29
tasude,29,29
üld,29,29
heaks,28,28
hüvitiste,28,28
kiitmise,28,28
tee,28,28
välja,28,27
elu,28,26
gümnaasiumi,26,26
kooli-,26,26
osa,26,26
raha,26,26
toetuste,26,26
võla,26,26
üle,26,26
liidu,26,25
ühis,26,25
protokolli,25,23
organisatsiooni,24,24
toimingute,24,24
raamatu,24,23
ehitus,23,23
finants,23,21
pesu,22,22
taime,22,22
tubaka,22,22
kirja,22,21
ameti,21,21
gaasi,21,21
prokuratuuri,21,21
õppe,20,12
arengu,19,19
asja,19,19
teo,19,19
energia,19,16
lennundus,18,18
olu,18,18
pankroti,18,18
sfääri,18,18
turva,18,18
atmo,17,17
fondide,17,17
looma,17,17
pääste,17,17
raud,17,17
vangistus,17,17
väär,17,17
ühend,17,17
maade,17,16
veo,17,16
õiguste,17,16
inim,17,13
korteri,17,11
hasart,16,16
leppega,16,16
mängu,16,16
re,16,16
vara,16,16
häda,15,15
laeva,15,15
lipu,15,15
täituri,15,15
vaheliste,15,15
kala,15,14
asutamis,14,14
inspektsiooni,14,14
kinnistus,14,14
makse,14,14
materjali,14,14
sadama,14,14
suur,14,11
konstrueerimis-,13,13
mitme,13,13
oleku,13,13
rahvastiku,13,13
üli,13,13
põhja,13,12
ülese,13,12
eba,13,11
andmise,12,12
hangete,12,12
kontrolli,12,12
lõhke,12,12
registrite,12,12
seadustiku,12,12
